Term (English),Abbreviation,Type,Term (Malay),Term (Chinese),Term (Tamil),Short Description (English),Category,Administering Agency,Source URL,CSV Alias (variant spelling),Usage Notes,Translation Status
Silver Support Scheme,,Scheme,Skim Ihsan Senja,乐龄补贴计划,மூத்தோர் ஆதரவுத் திட்டம்,Quarterly cash supplement for lower-income Singaporeans aged 65 and above who had lower wages during their working years,Healthcare & Elderly Care,CPF Board,Malay: https://www.mof.gov.sg/docs/librariesprovider3/budget2024/download/pdf/fy2024_budget_booklet_malay.pdf | Chinese: https://www.moh.gov.sg/newsroom/ensuring-that-singaporeans-understand-support-schemes | https://www.translatedterms.gov.sg,,,CSV-verified
SkillsFuture Credit,,Scheme,Kredit SkillsFuture,技能创前程培训补助,ஸ்கில்ஸ்ஃபியூச்சர் பயிற்சி உதவிநிதி,Annual credits for Singaporeans aged 25 and above to pay for approved skills-related courses and programmes,Employment & Training,SkillsFuture Singapore,Malay: https://www.mof.gov.sg/docs/librariesprovider3/budget2024/download/pdf/fy2024_budget_booklet_malay.pdf | https://www.skillsfuture.gov.sg/initiatives/individuals/skillsfuture-credit | https://www.translatedterms.gov.sg,,,CSV-verified
SkillsFuture Fellowships,,Scheme,,,,,Employment & Training,,,,Brand used in English; SkillsFuture umbrella=技能创前程 (FY2025 booklet),English name used officially
Workfare Income Supplement,,Scheme,Skim Pendapatan Tambahan Daya Kerja,就业补助金,வேலைநலன் துணை வருமானத் திட்டம்,Scheme supplementing income and CPF savings of lower-wage Singaporean workers and the self-employed,Employment & Training,CPF Board / Ministry of Manpower,Malay: https://www.mof.gov.sg/docs/librariesprovider3/budget2024/download/pdf/fy2024_budget_booklet_malay.pdf | Chinese: https://www.mof.gov.sg/docs/librariesprovider3/budget2024/download/pdf/fy2024_budget_booklet_chinese.pdf | https://www.translatedterms.gov.sg,Workfare Income Supplement (WIS),,CSV-verified
"A.I.R. (Awareness, Intervention, Recovery)",,Service,,,,,Mental Health & Counselling,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Active Ageing Centres (AAC),AAC,Service,,活跃乐龄中心,,,Healthcare & Elderly Care,,"Singaporean Mandarin Database, languagecouncils.sg | NTUC Health 2024 Chinese AAC brochure",,Chinese confirmed (Singapore Mandarin Council; NTUC Health brochure). Malay/Tamil pending AIC 4-language brochure extraction,Research-verified (partial)
Advance Care Planning (ACP),ACP,Service,,,,Voluntary planning document allowing individuals to document their healthcare preferences and appoint a Nominated Healthcare Spokesperson in the event they lose capacity to make decisions,Healthcare & Elderly Care,Ministry of Health / Agency for Integrated Care,https://www.aic.sg/care-services/advance-care-planning,Advance Care Plan (ACP),,CSV-verified (abbr/name match)
Babes Pregnancy Crisis Support,,Service,,,,,Family & Children,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Befriending Service (Senior),,Service,,,,,Healthcare & Elderly Care,,,,,Needs sourcing
CPF Nomination,,Service,,,,,CPF & Finance,,,,,Needs sourcing
Care Corner Counselling Centre,,Service,,,,,Mental Health & Counselling,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Care Corner Learning and Special Needs Support Programme,,Service,,,,,Youth Services,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Caregiver Support Group,,Service,,,,,Caregiving Support,,,,,Needs sourcing
Caregiver Support Network Community Outreach Team (CREST-CSN),CREST-CSN,Service,,,,,Caregiving Support,,,,,Needs sourcing
Caregiver Training and Support Programme,,Service,,,,,Caregiving Support,,,,,Needs sourcing
Centre-based Nursing,,Service,,,,,Healthcare & Elderly Care,,,,,Needs sourcing
Centre-based Respite Care,,Service,,,,,Caregiving Support,,,,,Needs sourcing
Child Protection Specialist Centre (CPSC),CPSC,Service,,,,,Family & Children,,,,,Needs sourcing
Community Intervention Team (COMIT),COMIT,Service,,,,,Social Support,,,,,Needs sourcing
Community Law Centre in North West Community Law Centre @ Realm of Tranquility,,Service,,,,,Legal & Estate Planning,,,,,Needs sourcing
Community Outreach Teams (CREST),CREST,Service,,,,,Others,,,,,Needs sourcing
Community Rehabilitation Centre,,Service,,,,,Healthcare & Elderly Care,,,,,Needs sourcing
Counselling,,Service,,,,,Mental Health & Counselling,,,,,Needs sourcing
Counselling (Seniors),,Service,,,,,Healthcare & Elderly Care,,,,,Needs sourcing
Counselling and Care Centre (CCC),CCC,Service,,,,,Mental Health & Counselling,,,,,Needs sourcing
Counselling for Older Persons Programme,,Service,,,,,Mental Health & Counselling,,,,,Needs sourcing
Cut the Loneliness: Bridge Connection (CLBC),CLBC,Service,,,,,Mental Health & Counselling,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Day Activity Centre (DAC),DAC,Service,Pusat Kegiatan Siang Hari,日间活动中心,பகல்நேர நடவடிக்கை நிலையங்கள்,,Disability Support,,"MSF List of Translated Terms (COS annexes), msf.gov.sg",,,Research-verified
Day Hospice Care,,Service,jagaan siang (hospis),日间慈怀服务,பகல்நேர அந்திமகாலப் பராமரிப்பு,,Healthcare & Elderly Care,,"AIC Financial-Scheme / ACP brochures (CH/ML/TM), aic.sg",,,Research-verified
Dementia Day Care,,Service,,,,,Healthcare & Elderly Care,,,,,Needs sourcing
Dementia Singapore Caregiver Support Services,,Service,,,,,Caregiving Support,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Deputyship,,Service,,,,Legal process where the court appoints a deputy to make decisions for a person who has lost mental capacity and has not made a Lasting Power of Attorney,Others,Ministry of Law / Office of the Public Guardian,https://www.opg.gov.sg/deputyship/overview-of-deputyship/,,,CSV-verified
Divorce Support Specialist Agency (DSSA),DSSA,Service,,,,,Social Support,,,,,Needs sourcing
EQUAL Youth Programme,,Service,,,,,Youth Services,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Early Intervention Programme for Infants & Children (EIPIC),EIPIC,Service,Program Intervensi Awal bagi Bayi dan Kanak-kanak (EIPIC),婴幼儿早期介入计划,மகக்குழந்தைகள் மற்றும் குழந்தைகளுக்கான ஆரம்பகால தலையீட்டுத் திட்டம்,,Family & Children,,"MSF List of Translated Terms (COS annexes), msf.gov.sg",,,Research-verified
Early Intervention Programme for Infants and Children - P (EIPIC-P),EIPIC-P,Service,,,,,Family & Children,,,,,Needs sourcing
Enhanced Step-Up (ESU),ESU,Service,,,,,Youth Services,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Epworth Literacy and Behaviour Intervention Programme,,Service,,,,,Youth Services,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Epworth Star,,Service,,,,,Youth Services,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Experiential Learning and Mentoring Programme (ELMP),ELMP,Service,,,,,Youth Services,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Family Service Centre (FSC),FSC,Service,Pusat Khidmat Keluarga,家庭服务中心,குடும்பச்சேவை நிலையம்,,Family & Children,,"MSF List of Translated Terms (COS annexes), msf.gov.sg",,,Research-verified
Family Strengthening Programme,,Service,,,,,Family & Children,,,,,Needs sourcing
Family Support and Counselling Programme,,Service,,,,,Social Support,,,,,Needs sourcing
Frenz Mentoring Programme,,Service,,,,,Youth Services,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Friends of Children and Youth (FOCY),FOCY,Service,,,,,Youth Services,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Friendship And Mind Enrichment (FAME) Club,FAME,Service,,,,,Mental Health & Counselling,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Growing Resilient Youth in Transition (GRYT 2.0),GRYT 2.0,Service,,,,,Youth Services,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Halogen SPARK!,,Service,,,,,Youth Services,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Home Medical,,Service,,居家医疗,,,Healthcare & Elderly Care,,"AIC Financial-Scheme / ACP brochures (CH/ML/TM), aic.sg",,"Chinese verbatim; Malay/Tamil appear as descriptive phrases, not fixed labels",Research-verified (partial)
Home Nursing,,Service,,居家护理,,,Healthcare & Elderly Care,,"AIC Financial-Scheme / ACP brochures (CH/ML/TM), aic.sg",,Chinese verbatim; Malay/Tamil descriptive,Research-verified (partial)
Home Palliative Care,,Service,perkhidmatan hospis rumah,居家慈怀服务,வீட்டு அந்திமகாலப் பராமரிப்பு,,Healthcare & Elderly Care,,"AIC Financial-Scheme / ACP brochures (CH/ML/TM), aic.sg",,,Research-verified
Home Personal Care (HPC),HPC,Service,,,,,Healthcare & Elderly Care,,,,,Needs sourcing
Home Therapy,,Service,,,,,Healthcare & Elderly Care,,,,,Needs sourcing
Immersive+,,Service,,,,,Uncategorised,,,,Likely Youth Services — confirm; NGO/VWO branded programme; no multilingual government publication located,No official translation found
Inpatient Hospice Palliative Care Service (IHPCS),IHPCS,Service,Perkhidmatan Penjagaan Paliatif Rawatan Pesakit Di Hospis,住院慈怀疗护服务,உள்நோயாளி அந்திம கால நோய் வேதனை தணிப்பு பராமரிப்பு சேவை,,Healthcare & Elderly Care,,"AIC Financial-Scheme / ACP brochures (CH/ML/TM), aic.sg",,,Research-verified
Integrated Child Care Programme (ICCP),ICCP,Service,,,,,Family & Children,,,,,Needs sourcing
Integrated Employment Services,,Service,,,,,Employment & Training,,,,,Needs sourcing
Integrated Home and Day Care (IHDC) / Package of Home and Day Care (IHDC),IHDC,Service,,,,,Healthcare & Elderly Care,,,,,Needs sourcing
Intermediate And Long-Term Care (ILTC) Services,ILTC,Service,,,,,Healthcare & Elderly Care,,,,,Needs sourcing
KidSTART,,Service,Program KidSTART,幼儿培育辅助计划,,"Early childhood development programme supporting children from lower-income families from birth to age 6 through home visits, infant playgroups and parenting workshops",Family & Children,Early Childhood Development Agency,Malay: https://www.mof.gov.sg/docs/librariesprovider3/budget2023/download/pdf/fy2023_budget_booklet_malay.pdf | https://www.translatedterms.gov.sg,KidSTART Programme,,CSV-verified (name match)
Kids In Play (KIP),KIP,Service,,,,,Family & Children,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Lasting Power of Attorney (LPA),LPA,Service,Surat Kuasa Berkekalan,持久授权书,நீண்டகால அதிகாரப் பத்திரம்,Legal document appointing a trusted person (donee) to make decisions on one's behalf regarding personal welfare and/or property and financial affairs if one loses mental capacity,Others,Ministry of Law / Office of the Public Guardian,https://www.opg.gov.sg/lasting-power-of-attorney/overview-of-lpa/ | https://www.translatedterms.gov.sg,,,CSV-verified
Life Point,,Service,,,,,Uncategorised,,,,Likely Mental Health & Counselling — confirm; NGO/VWO branded programme; no multilingual government publication located,No official translation found
Lighthouse Project,,Service,,,,,Uncategorised,,,,Likely Social Support — confirm; NGO/VWO branded programme; no multilingual government publication located,No official translation found
Live On! by TOUCH Community Services,,Service,,,,,Uncategorised,,,,Likely Others — confirm; NGO/VWO branded programme; no multilingual government publication located,No official translation found
Local Outreach to Suicide Survivors (LOSS),LOSS,Service,,,,,Mental Health & Counselling,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Maintenance Day Care Centre,,Service,,,,,Healthcare & Elderly Care,,,,,Needs sourcing
Maintenance Support Central (MSC),MSC,Service,,,,,Social Support,,,,,Needs sourcing
Marriage Preparation Programme for Minor and Young Muslim Couples,,Service,,,,,Family & Children,,,,,Needs sourcing
Meals on Wheels (MOW),MOW,Service,,,,,Healthcare & Elderly Care,,,,,Needs sourcing
Medical Escort and Transport (MET),MET,Service,,,,,Transport,,,,,Needs sourcing
MightyKids,,Service,,,,,Uncategorised,,,,Likely Family & Children — confirm; NGO/VWO branded programme; no multilingual government publication located,No official translation found
Mindset Learning Hub,,Service,,,,,Mental Health & Counselling,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Mobile Access for Seniors (MAS),MAS,Service,,,,,Healthcare & Elderly Care,,,,,Needs sourcing
My Legacy,,Service,,,,,Others,,,,Brand used in English officially (mylegacy.life.gov.sg),English name used officially
NOVA Learning Intervention Programme,,Service,,,,,Youth Services,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Nursing Home,,Service,Rumah Penjagaan,疗养院,தாதிமை இல்லம்,,Healthcare & Elderly Care,,"AIC Financial-Scheme / ACP brochures (CH/ML/TM), aic.sg",,,Research-verified
Nursing Home Respite Care,,Service,,,,,Caregiving Support,,,,,Needs sourcing
Our HEALing Voice,,Service,,,,,Uncategorised,,,,Likely Mental Health & Counselling — confirm; NGO/VWO branded programme; no multilingual government publication located,No official translation found
Project SAFE 1.1,,Service,,,,,Uncategorised,,,,Likely Mental Health & Counselling — confirm; NGO/VWO branded programme; no multilingual government publication located,No official translation found
Protection Specialist Centre (PSC),PSC,Service,,,,,Family & Children,,,,,Needs sourcing
Remarriage Preparation Programme for Muslim Couples,,Service,,,,,Family & Children,,,,,Needs sourcing
Rise to Wellness - Integrated Wellness Recovery Programme (RTW-I),RTW-I,Service,,,,,Mental Health & Counselling,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
SAMH Group Homes,,Service,,,,,Mental Health & Counselling,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
SAMH Oasis Day Centre,,Service,,,,,Mental Health & Counselling,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
SAMH Youthreach,,Service,,,,,Youth Services,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
SHINE Children and Youth Services - Learning and Social Support Programme,,Service,,,,,Youth Services,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
SOS Care Text,,Service,,,,,Mental Health & Counselling,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
SOS Suicide Crisis Intervention Programme,,Service,,,,,Mental Health & Counselling,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Senior Day Care,,Service,,,,,Healthcare & Elderly Care,,,,,Needs sourcing
Senior Group Home (SGH),SGH,Service,,,,,Healthcare & Elderly Care,,,,,Needs sourcing
Severe Disability Assessment (SDA),SDA,Service,,,,,Disability Support,,,,,Needs sourcing
Sheltered Workshop,,Service,,,,,Disability Support,,,,,Needs sourcing
Sober Living Framework (SLF),SLF,Service,,,,,Mental Health & Counselling,,,,NGO/VWO branded programme; no multilingual government publication located,No official translation found
Youth Community Outreach Team (CREST-Youth),CREST-Youth,Service,,,,,Youth Services,,,,,Needs sourcing
